TranscriptID	Count
unassigned_transcript_1	0
unassigned_transcript_2	1
unassigned_transcript_3	227
unassigned_transcript_4	0
unassigned_transcript_5	0
unassigned_transcript_6	8
unassigned_transcript_7	0
unassigned_transcript_8	11
unassigned_transcript_9	0
unassigned_transcript_10	8
unassigned_transcript_11	2
unassigned_transcript_12	31543
unassigned_transcript_13	383
unassigned_transcript_14	1
unassigned_transcript_15	0
unassigned_transcript_16	0
unassigned_transcript_17	0
unassigned_transcript_18	0
unassigned_transcript_19	0
unassigned_transcript_20	0
unassigned_transcript_21	0
unassigned_transcript_22	0
unassigned_transcript_23	0
unassigned_transcript_24	0
unassigned_transcript_25	0
unassigned_transcript_26	0
unassigned_transcript_27	0
unassigned_transcript_28	27
unassigned_transcript_29	6
unassigned_transcript_30	6
unassigned_transcript_31	0
unassigned_transcript_32	10
unassigned_transcript_33	0
unassigned_transcript_34	0
unassigned_transcript_35	0
unassigned_transcript_36	4
unassigned_transcript_37	0
unassigned_transcript_38	0
unassigned_transcript_39	0
unassigned_transcript_40	6
unassigned_transcript_41	7
unassigned_transcript_42	0
unassigned_transcript_43	2
unassigned_transcript_44	3
unassigned_transcript_45	0
unassigned_transcript_46	137
unassigned_transcript_47	13
unassigned_transcript_48	0
unassigned_transcript_49	0
unassigned_transcript_50	0
unassigned_transcript_51	2
unassigned_transcript_52	0
unassigned_transcript_53	0
unassigned_transcript_54	12
unassigned_transcript_56	0
unassigned_transcript_57	7
unassigned_transcript_58	460
unassigned_transcript_59	18
unassigned_transcript_60	130
unassigned_transcript_61	19
unassigned_transcript_62	0
unassigned_transcript_63	0
unassigned_transcript_64	0
unassigned_transcript_65	0
unassigned_transcript_66	0
unassigned_transcript_67	39
unassigned_transcript_68	0
unassigned_transcript_69	0
unassigned_transcript_70	0
unassigned_transcript_71	0
unassigned_transcript_72	0
unassigned_transcript_73	0
unassigned_transcript_74	0
unassigned_transcript_75	0
unassigned_transcript_76	0
unassigned_transcript_77	1
unassigned_transcript_78	14
unassigned_transcript_79	307
unassigned_transcript_80	1
unassigned_transcript_81	0
unassigned_transcript_82	0
unassigned_transcript_83	6
unassigned_transcript_84	4
unassigned_transcript_85	0
unassigned_transcript_86	0
unassigned_transcript_87	0
unassigned_transcript_88	1
unassigned_transcript_89	0
unassigned_transcript_90	0
unassigned_transcript_91	0
unassigned_transcript_92	0
unassigned_transcript_93	6
unassigned_transcript_94	0
unassigned_transcript_95	0
unassigned_transcript_96	0
unassigned_transcript_97	0
unassigned_transcript_98	0
unassigned_transcript_99	0
unassigned_transcript_100	0
unassigned_transcript_101	0
unassigned_transcript_102	0
unassigned_transcript_103	0
unassigned_transcript_104	1
unassigned_transcript_105	0
unassigned_transcript_106	0
unassigned_transcript_107	19
unassigned_transcript_108	1
unassigned_transcript_109	0
unassigned_transcript_110	0
unassigned_transcript_111	0
unassigned_transcript_112	0
unassigned_transcript_113	0
unassigned_transcript_114	2227
unassigned_transcript_115	62
unassigned_transcript_116	2
unassigned_transcript_118	0
unassigned_transcript_119	2
unassigned_transcript_120	0
unassigned_transcript_121	5
unassigned_transcript_122	50
unassigned_transcript_123	97
unassigned_transcript_124	4
unassigned_transcript_125	2
unassigned_transcript_126	0
unassigned_transcript_127	80
unassigned_transcript_128	293
unassigned_transcript_129	5
unassigned_transcript_130	0
unassigned_transcript_131	188
unassigned_transcript_132	29
unassigned_transcript_133	0
unassigned_transcript_134	0
unassigned_transcript_135	0
unassigned_transcript_136	0
unassigned_transcript_137	3
unassigned_transcript_138	4
unassigned_transcript_139	0
unassigned_transcript_140	0
unassigned_transcript_141	0
unassigned_transcript_142	0
unassigned_transcript_143	2
unassigned_transcript_144	0
unassigned_transcript_145	0
unassigned_transcript_146	4
unassigned_transcript_147	21
unassigned_transcript_148	3
unassigned_transcript_149	0
unassigned_transcript_150	0
unassigned_transcript_151	4
unassigned_transcript_152	0
unassigned_transcript_153	0
unassigned_transcript_154	0
unassigned_transcript_155	0
unassigned_transcript_156	0
unassigned_transcript_157	0
unassigned_transcript_158	0
unassigned_transcript_159	2
unassigned_transcript_160	0
unassigned_transcript_161	0
unassigned_transcript_162	0
unassigned_transcript_163	0
unassigned_transcript_164	0
unassigned_transcript_165	0
unassigned_transcript_166	0
unassigned_transcript_167	0
unassigned_transcript_168	0
unassigned_transcript_169	0
unassigned_transcript_170	0
unassigned_transcript_171	0
unassigned_transcript_172	0
unassigned_transcript_173	7
unassigned_transcript_175	0
unassigned_transcript_176	450
unassigned_transcript_177	1628
unassigned_transcript_178	0
unassigned_transcript_179	0
unassigned_transcript_180	2
unassigned_transcript_181	0
unassigned_transcript_182	0
unassigned_transcript_183	0
